33,1
42,1
24,1
19,1
7,1
55,1
34,1
21,1
47,1
23,1
48,1
14,1
41,1
59,1
20,1
62,1
58,1
36,1
53,1
16,1
22,1
39,1
35,1
38,1
28,1
18,1
64,1
3,1
13,1
44,1
4,1
45,1
27,1
63,1
66,1
52,1
46,1
56,1
40,1
26,1
43,1
51,1
10,1
31,1
37,1
30,1
50,1
11,1
65,1
57,1
49,1
15,1
60,1
32,1
17,1
12,1
29,1
25,1
54,1
9,1
6,1
1,1
5,1
2,1
8,1
61,1
33,1
42,1
24,1
19,1
7,1
55,1
34,1
21,1
47,1
23,1
48,1
14,1
41,1
59,1
20,1
62,1
58,1
36,1
53,1
16,1
22,1
39,1
35,1
38,1
28,1
18,1
64,1
3,1
13,1
44,1
4,1
45,1
27,1
63,1
66,1
52,1
46,1
56,1
40,1
26,1
43,1
51,1
10,1
31,1
37,1
30,1
50,1
11,1
65,1
57,1
49,1
15,1
60,1
32,1
17,1
12,1
29,1
25,1
54,1
9,1
6,1
1,1
5,1
2,1
8,1
61,1
33,1
42,1
24,1
19,1
7,1
55,1
34,1
21,1
47,1
23,1
48,1
14,1
41,1
59,1
20,1
62,1
58,1
36,1
53,1
16,1
22,1
39,1
35,1
38,1
28,1
18,1
64,1
3,1
13,1
44,1
4,1
45,1
27,1
63,1
66,1
52,1
46,1
56,1
40,1
26,1
43,1
51,1
10,1
31,1
37,1
30,1
50,1
11,1
65,1
57,1
49,1
15,1
60,1
32,1
17,1
12,1
29,1
25,1
54,1
9,1
6,1
1,1
5,1
2,1
8,1
61,1
33,1
42,1
24,1
19,1
7,1
55,1
34,1
21,1
47,1
23,1
48,1
14,1
41,1
59,1
20,1
62,1
58,1
36,1
53,1
16,1
22,1
39,1
35,1
38,1
28,1
18,1
64,1
3,1
13,1
44,1
4,1
45,1
27,1
63,1
66,1
52,1
46,1
56,1
40,1
26,1
43,1
51,1
10,1
31,1
37,1
30,1
50,1
11,1
65,1
57,1
49,1
15,1
60,1
32,1
17,1
12,1
29,1
25,1
54,1
9,1
6,1
1,1
5,1
2,1
8,1
61,1
